seed,split,setting,R,gamma,p,C,kappa,true_permanence_hold,failure,final_corr_sa,mean_corr_sa,mean_adversary_concealment,final_adversary_concealment,mean_adversary_fitness,adversary_extinct,mean_adversary_share,caught_events,false_positive_events,steps_run
4100,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.08108108108108109,1.0,1.0,1.1132500725401822,0,0.8779092422817804,0,0,37
4101,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-1.0,-0.14285714285714285,0.9968032945915762,0.9968032945915762,1.12266207353145,0,0.9293759062962978,0,0,21
4102,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-1.0,0.22580645161290322,0.8721201749183247,0.9078344606326104,1.1134333397713614,0,0.9239102561587683,0,0,31
4103,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-1.0,0.4074074074074074,0.9381255783436891,0.9381255783436891,1.1217784600762057,0,0.9269746229153331,0,0,27
4104,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-0.9999999999999998,-0.0666666666666667,0.9959995893161521,1.0,1.1211364486130104,0,0.884567341097023,0,0,30
4105,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,0.4074074074074074,0.8761556578829803,0.9261556578829803,1.1153806724947697,0,0.9301891867052393,0,0,27
4106,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-1.0,0.26666666666666666,0.9715029604764222,1.0,1.1130648501608504,0,0.8860478194253772,0,0,30
4107,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-1.0,0.11764705882352941,0.9879697836696815,1.0,1.1089406951341083,0,0.8777400889867543,0,0,34
4108,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-1.0,0.15384615384615385,0.9778355707883902,1.0,1.1178117956709759,0,0.913685907024807,0,0,26
4109,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,-0.3333333333333333,0.9602843227390429,1.0,1.1245887650342474,0,0.9147630138797478,0,0,24
4110,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-1.0,0.08333333333333333,0.9872093523716615,1.0,1.1171705114814257,0,0.9119596030993882,0,0,24
4111,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-0.9999999999999999,1.850371707708594e-17,1.0,1.0,1.1151969684924594,0,0.9168092834331834,0,0,24
4112,heldout,r01,0.18181818181818182,0.0,0.0,0.0,0.0,0,1,-1.0,0.16666666666666666,1.0,1.0,1.124222883888106,0,0.9277725600911045,0,0,24
